,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
151563,57164Y107,VAC,VAC,"9, 9, 0, []",9,9,0,1,0
151725,87159A103,GEVA,GEVA,"18, 18, 0, []",18,18,0,1,0
151804,963025705,WHLR,WHLR,"8, 8, 0, []",8,8,0,1,0
151839,03212B103,AMPY,AMPY,"8, 8, 0, []",8,8,0,1,0
151910,69318G106,PBF,PBF,"8, 8, 0, []",8,8,0,1,1
151957,34960Q109,FBIO,FBIO,"8, 8, 0, []",8,8,0,1,0
152005,30064K105,ET.4,ET,"14, 14, 0, []",14,14,0,1,1
152166,896945201,TRIP,TRIP,"9, 9, 0, []",9,9,0,1,0
152177,779268101,RNDY,RNDY,"4, 4, 0, []",4,4,0,1,0
153206,00506P103,ACTI,ACTI,"9, 9, 0, []",9,9,0,1,0
153227,55933J203,MX,MX,"13, 13, 0, []",13,13,0,1,0
153481,36197T103,GWPH,GWPH,"3, 3, 0, []",3,3,0,1,0
153626,Q2594G104,CPT.,CPT,"24, 24, 0, []",24,24,0,1,1
153645,45257L108,IMMP,IMMP,"8, 8, 0, []",8,8,0,1,1
153654,30233G100,EYPT,EYPT,"12, 12, 0, []",12,12,0,1,0
153738,87265H109,TPH,TPH,"8, 8, 0, []",8,8,0,1,1
154133,45719T103,INHX,INHX,"7, 7, 0, []",7,7,0,1,0
154240,90385V107,UCTT,UCTT,"16, 16, 0, []",16,16,0,1,0
154253,31943X102,FCTY,FCTY,"9, 9, 0, []",9,9,0,1,0
154577,03761U502,AINV,AINV,"15, 15, 0, []",15,15,0,1,0
154794,422368100,HTWR,HTWR,"9, 9, 0, []",9,9,0,1,0
154958,05567U107,BSC.,BSC,"13, 13, 0, []",13,13,0,1,1
155149,29355M200,ENVS,ENVS,"20, 20, 0, []",20,20,0,1,0
155368,74373K109,PTXT,PTXT,"22, 22, 0, []",22,22,0,1,0
155523,36116M106,FF,FF,"12, 12, 0, []",12,12,0,1,0
155705,62844N208,MYSZ,MYSZ,"8, 8, 0, []",8,8,0,1,0
155764,85569C107,SRT,SRT,"23, 23, 0, []",23,23,0,1,1
155860,28618M106,ESI,ESI,"7, 7, 0, []",7,7,0,1,0
155959,589492107,MREO,MREO,"3, 3, 0, []",3,3,0,1,1
20717,00213H105,ARCW,ARCW,"17, 17, 0, []",17,17,0,1,1
420,87509Q105,ACEL.,ACEL,"3, 3, 0, []",3,3,0,1,1
5523,211919105,CNVR.,CNVR,"14, 14, 0, []",14,14,0,1,1
15041,885535104,COMS.,COMS,"16, 16, 0, []",16,16,0,1,1
