,cusip,tic,ticker,extraction_info,totals,extracted,errors
91075,008920100,AITX.1,AITX,"0, 0, 0, []",0,0,0
91076,92862Y109,VPLM,VPLM,"0, 0, 0, []",0,0,0
91080,29403A307,EVSV,EVSV,"4, 4, 0, []",4,4,0
91085,33938T104,FSI,FSI,"11, 11, 3, ['18', '19', '09']",11,11,3
91097,45817G201,IDN,IDN,"18, 18, 7, ['18', '08', '09', '19', '03', '07', '02']",18,18,7
91109,31861A209,FAHLF,FAHLF,"0, 0, 0, []",0,0,0
91118,69924M109,PZG,PZG,"5, 5, 0, []",5,5,0
91131,732816103,POPN,POPN,"0, 0, 0, []",0,0,0
91132,632381307,NCOC,NCOC,"0, 0, 0, []",0,0,0
91135,50077B207,KTOS,KTOS,"21, 21, 0, []",21,21,0
91147,682310875,ONCY,ONCY,"0, 0, 0, []",0,0,0
91159,16119P108,CHTR,CHTR,"21, 21, 2, ['07', '06']",21,21,2
91172,46434G830,EWI,EWI,"0, 0, 0, []",0,0,0
91185,464286871,EWH,EWH,"0, 0, 0, []",0,0,0
91198,464286806,EWG,EWG,"0, 0, 0, []",0,0,0
91211,464286707,EWQ,EWQ,"0, 0, 0, []",0,0,0
91224,464286509,EWC,EWC,"0, 0, 0, []",0,0,0
91237,464286103,EWA,EWA,"0, 0, 0, []",0,0,0
91250,464286202,EWO,EWO,"0, 0, 0, []",0,0,0
91263,464286301,EWK,EWK,"0, 0, 0, []",0,0,0
91276,30212P303,EXPE,EXPE,"15, 15, 0, []",15,15,0
91289,258711100,MYDP,MYDP,"10, 10, 2, ['07', '06']",10,10,2
91301,452521107,IMMR,IMMR,"21, 21, 0, []",21,21,0
91313,835470105,SNWL,SNWL,"11, 11, 0, []",11,11,0
91316,81369Y886,XLU,XLU,"0, 0, 0, []",0,0,0
91329,81369Y803,XLK,XLK,"0, 0, 0, []",0,0,0
91342,81369Y704,XLI,XLI,"0, 0, 0, []",0,0,0
91355,81369Y605,XLF,XLF,"0, 0, 0, []",0,0,0
91368,81369Y506,XLE,XLE,"0, 0, 0, []",0,0,0
91381,81369Y407,XLY,XLY,"0, 0, 0, []",0,0,0
91394,81369Y308,XLP,XLP,"0, 0, 0, []",0,0,0
91407,81369Y209,XLV,XLV,"0, 0, 0, []",0,0,0
91420,31787A507,FNSR,FNSR,"20, 20, 0, []",20,20,0
91433,683344105,ONTO,ONTO,"25, 25, 0, []",25,25,0
91445,750875304,VCTL,VCTL,"15, 15, 0, []",15,15,0
91452,91822T101,VGLS,VGLS,"0, 0, 0, []",0,0,0
91460,86184J105,BCKDF,BCKDF,"0, 0, 0, []",0,0,0
91464,62954C109,ZPCM,ZPCM,"18, 18, 0, []",18,18,0
91474,103310108,BYDGF,BYDGF,"0, 0, 0, []",0,0,0
91486,146534102,CRTN,CRTN,"19, 19, 0, []",19,19,0
91497,00846U101,A,A,"21, 21, 1, ['00']",21,21,1
91510,01167P101,ALSK,ALSK,"20, 20, 0, []",20,20,0
91522,44934B104,ICABY,ICABY,"0, 0, 0, []",0,0,0
91534,80908T101,SQI,SQI,"11, 11, 0, []",11,11,0
91543,87155S108,SMMX,SMMX,"11, 11, 2, ['10', '08']",11,11,2
91546,09534T508,BCSI,BCSI,"12, 12, 0, []",12,12,0
91551,14068G104,CSFFF,CSFFF,"0, 0, 0, []",0,0,0
91563,98921P104,ZMSPF,ZMSPF,"0, 0, 0, []",0,0,0
91572,09067D201,BBHYL,BBHYL,"0, 0, 0, []",0,0,0
91577,24783N102,DDDC,DDDC,"16, 16, 2, ['07', '09']",16,16,2
91585,G6406W109,NDSG,NDSG,"0, 0, 0, []",0,0,0
91590,717098206,PFSW,PFSW,"19, 19, 0, []",19,19,0
91602,879360105,TDY,TDY,"21, 21, 0, []",21,21,0
91615,G67543101,OPTV.1,OPTV,"8, 8, 0, []",8,8,0
91618,072035108,BAYK,BAYK,"21, 21, 0, []",21,21,0
91628,014478101,ACB.H,ACBH,"0, 0, 0, []",0,0,0
91630,830884300,SKBI,SKBI,"7, 7, 1, ['08']",7,7,1
91637,05459T101,AXST,AXST,"8, 8, 1, ['02']",8,8,1
91644,09064V105,BIPH,BIPH,"5, 5, 1, ['08']",5,5,1
91647,885578104,LCANF,LCANF,"0, 0, 0, []",0,0,0
91651,21922J604,CTNXF,CTNXF,"0, 0, 0, []",0,0,0
91663,58501R102,MMIRF,MMIRF,"0, 0, 0, []",0,0,0
91676,253807101,DMRC.1,DMRC,"12, 12, 0, []",12,12,0
91677,98401C102,XMEX,XMEX,"0, 0, 0, []",0,0,0
91678,74327M102,PGUS,PGUS,"0, 0, 0, []",0,0,0
91689,983772104,XOXO,XOXO,"19, 19, 0, []",19,19,0
91700,M69897110,MTLK,MTLK,"0, 0, 0, []",0,0,0
91712,203602107,CBKS,CBKS,"0, 0, 0, []",0,0,0
91718,44329V103,WSTM,WSTM,"10, 10, 3, ['07', '06', '08']",10,10,3
91723,414549105,HPOL,HPOL,"14, 14, 0, []",14,14,0
91730,15100E106,CRA,CRA,"15, 15, 3, ['04', '06', '05']",15,15,3
91734,03899Y939,ABI.CM,ABICM,"0, 0, 0, []",0,0,0
91736,36846Q203,GKNT,GKNT,"15, 15, 0, []",15,15,0
91744,05541T101,BGCP,BGCP,"21, 21, 0, []",21,21,0
91769,39928H109,RVARF,RVARF,"0, 0, 0, []",0,0,0
91782,92931L401,WPCS,WPCS,"0, 0, 0, []",0,0,0
91793,265824102,OCPFF,OCPFF,"0, 0, 0, []",0,0,0
91804,14888B103,CHSI,CHSI,"13, 13, 0, []",13,13,0
91809,130872104,CALP,CALP,"12, 12, 0, []",12,12,0
91813,68389J106,3OPTO,3OPTO,"0, 0, 0, []",0,0,0
91814,302771100,FABU,FABU,"7, 7, 0, []",7,7,0
91821,024003105,AADI,AADI,"0, 0, 0, []",0,0,0
91824,577776107,MAXY,MAXY,"14, 14, 0, []",14,14,0
91830,957533102,WTECQ,WTECQ,"0, 0, 0, []",0,0,0
91831,59501P104,MBXBF,MBXBF,"0, 0, 0, []",0,0,0
91844,71638T305,PTHLF,PTHLF,"0, 0, 0, []",0,0,0
91851,39814L107,MSMGF,MSMGF,"0, 0, 0, []",0,0,0
91859,98159C106,WSTR,WSTR,"0, 0, 0, []",0,0,0
91863,37990M105,GBLE,GBLE,"0, 0, 0, []",0,0,0
91865,31429Y103,ADY,ADY,"8, 8, 0, []",8,8,0
91871,00763V108,AIDO,AIDO,"1, 1, 0, []",1,1,0
91873,77313T106,RKTI,RKTI,"0, 0, 0, []",0,0,0
91874,679574939,9840B,9840B,"0, 0, 0, []",0,0,0
91886,64952G934,9845B,9845B,"0, 0, 0, []",0,0,0
91898,62845B104,MFSF,MFSF,"21, 21, 1, ['08']",21,21,1
91922,519485106,LAWEQ,LAWEQ,"0, 0, 0, []",0,0,0
91926,743642209,PRTX,PRTX,"12, 12, 0, []",12,12,0
91938,69360N108,PSBQ,PSBQ,"0, 0, 0, []",0,0,0
91956,46071W205,IIPZF,IIPZF,"0, 0, 0, []",0,0,0
91968,29490B101,ERBA,ERBA,"0, 0, 0, []",0,0,0
91976,747713105,QTRHF,QTRHF,"0, 0, 0, []",0,0,0
91988,56075N002,6558A,6558A,"0, 0, 0, []",0,0,0
91990,26599Z005,BNS1,BNS1,"0, 0, 0, []",0,0,0
91998,697062206,PLMT,PLMT,"20, 20, 0, []",20,20,0
92010,71646M102,PZE.2,PZE,"0, 0, 0, []",0,0,0
92012,817337405,SQNM,SQNM,"17, 17, 0, []",17,17,0
92021,02599Y942,9891B,9891B,"0, 0, 0, []",0,0,0
92022,63227W203,NTG.1,NTG,"10, 10, 0, []",10,10,0
92024,85771T104,STTSY.,STTSY,"0, 0, 0, []",0,0,0
92025,900423104,TSTN.,TSTN,"5, 5, 0, []",5,5,0
92027,95083R100,WDOFF,WDOFF,"0, 0, 0, []",0,0,0
92039,695156109,PKG,PKG,"21, 21, 0, []",21,21,0
92051,87927P200,TTHYL,TTHYL,"0, 0, 0, []",0,0,0
92056,71712A206,PPHYL,PPHYL,"0, 0, 0, []",0,0,0
92061,744285206,PRXM,PRXM,"10, 10, 2, ['08', '07']",10,10,2
92064,16944U108,CNGL,CNGL,"3, 3, 0, []",3,3,0
92068,359851102,FULO,FULO,"12, 12, 0, []",12,12,0
92074,98986M103,ZYXI,ZYXI,"0, 0, 0, []",0,0,0
92086,58446K105,MCCC,MCCC,"11, 11, 0, []",11,11,0
92089,00847G705,AGEN,AGEN,"19, 19, 1, ['03']",19,19,1
92101,05348W307,AVNX,AVNX,"9, 9, 0, []",9,9,0
92103,268763208,EONC,EONC,"0, 0, 0, []",0,0,0
92110,45075E104,IAFNF,IAFNF,"0, 0, 0, []",0,0,0
92134,00433N106,AUSA,AUSA,"5, 5, 0, []",5,5,0
92135,074014101,BBGI,BBGI,"21, 21, 0, []",21,21,0
92147,577097108,MATR,MATR,"19, 19, 0, []",19,19,0
92158,922281100,VSTY,VSTY,"9, 9, 0, []",9,9,0
92159,60446Q108,MICFF,MICFF,"0, 0, 0, []",0,0,0
92172,170404305,CHRD,CHRD,"10, 10, 1, ['09']",10,10,1
92175,92340P209,VRNM,VRNM,"13, 13, 0, []",13,13,0
92181,72999X935,PEYG.1,PEYG,"1, 1, 0, []",1,1,0
92183,94768C108,WEBM.,WEBM,"0, 0, 0, []",0,0,0
92184,23305P108,DBOXF,DBOXF,"0, 0, 0, []",0,0,0
92195,37247A102,GTIV,GTIV,"15, 15, 0, []",15,15,0
92202,64378H102,NDAC,NDAC,"8, 8, 2, ['06', '08']",8,8,2
92206,903115103,UNRH,UNRH,"0, 0, 0, []",0,0,0
92211,805423308,SVVS,SVVS,"12, 12, 0, []",12,12,0
92215,89999X939,5068B,5068B,"0, 0, 0, []",0,0,0
92220,892921107,TPW.Z,TPWZ,"0, 0, 0, []",0,0,0
92221,895947109,TRH.UN,TRHUN,"0, 0, 0, []",0,0,0
92230,831004304,SLMXF,SLMXF,"0, 0, 0, []",0,0,0
92243,Y2711Y112,GIGM,GIGM,"0, 0, 0, []",0,0,0
92255,03062D100,USAS,USAS,"0, 0, 0, []",0,0,0
92267,318323102,FCMGF,FCMGF,"0, 0, 0, []",0,0,0
92279,74048F105,PCU.UN,PCUUN,"0, 0, 0, []",0,0,0
92285,706327103,PBA,PBA,"0, 0, 0, []",0,0,0
92297,77519R102,RSGUF,RSGUF,"0, 0, 0, []",0,0,0
92310,46069S109,ISIL,ISIL,"18, 18, 0, []",18,18,0
92320,559211305,MECAQ,MECAQ,"9, 9, 1, ['02']",9,9,1
92321,056033103,BHH,BHH,"0, 0, 0, []",0,0,0
92325,G9829R103,XTGRF,XTGRF,"0, 0, 0, []",0,0,0
92336,46059V104,IIH,IIH,"0, 0, 0, []",0,0,0
92340,46060A107,IAH,IAH,"0, 0, 0, []",0,0,0
92344,68338T403,ONVI,ONVI,"17, 17, 0, []",17,17,0
92354,220518609,CTPNF,CTPNF,"0, 0, 0, []",0,0,0
92362,696643105,PALM,PALM,"10, 10, 0, []",10,10,0
